id,name,season,team,mp,ws,ws48
barryjo01,Jon Barry,2005,ATL,275,0.2,.038
stewami01,Michael Stewart,2005,ATL,145,0.2,.077
mccoyje01,Jelani McCoy,2005,ATL,88,0.0,-0.001
millean01,Anthony Miller,2005,ATL,9,0.0,.091
thomaja02,James Thomas,2005,ATL,5,0.0,.181
terryja01,Jason Terry,2004,ATL,3018,5.1,.080
jacksst02,Stephen Jackson,2004,ATL,2940,4.4,.072
abdursh01,Shareef Abdur-Rahim,2004,ATL,1956,6.6,.163
diawbo01,Boris Diaw,2004,ATL,1919,0.8,.021
ratlith01,Theo Ratliff,2004,ATL,1648,2.3,.066
glovedi01,Dion Glover,2004,ATL,1465,1.2,.039
vaughja01,Jacque Vaughn,2004,ATL,1271,0.0,-0.002
crawfch01,Chris Crawford,2004,ATL,1207,2.7,.107
surabo01,Bob Sura,2004,ATL,956,2.6,.130
mohamna01,Nazr Mohammed,2004,ATL,938,1.7,.087
collija02,Jason Collier,2004,ATL,545,1.2,.105
hansetr01,Travis Hansen,2004,ATL,507,0.2,.019
ndiayma02,Mamadou N'Diaye,2004,ATL,359,0.8,.112
przybjo01,Joel Przybilla,2004,ATL,314,0.0,.006
nailole01,Lee Nailon,2004,ATL,300,0.2,.033
dickada01,Dan Dickau,2004,ATL,143,0.0,.006
persowe01,Wesley Person,2004,ATL,132,0.1,.053
hendeal01,Alan Henderson,2004,ATL,68,0.2,.109
bradlmi01,Michael Bradley,2004,ATL,60,0.0,-0.012
rebraze01,Zeljko Rebraca,2004,ATL,51,0.0,.016
fullehi01,Hiram Fuller,2004,ATL,43,-0.1,-0.094
wallara01,Rasheed Wallace,2004,ATL,42,-0.1,-0.068
davisjo02,Josh Davis,2004,ATL,23,0.0,-0.075
thomais02,Isaiah Thomas,2017,BOS,2569,12.5,.234
smartma01,Marcus Smart,2017,BOS,2399,3.2,.064
crowdja01,Jae Crowder,2017,BOS,2335,6.7,.137
horfoal01,Al Horford,2017,BOS,2193,6.3,.138
bradlav01,Avery Bradley,2017,BOS,1835,3.1,.081
johnsam01,Amir Johnson,2017,BOS,1608,5.0,.149
olynyke01,Kelly Olynyk,2017,BOS,1538,4.1,.127
brownja02,Jaylen Brown,2017,BOS,1341,1.5,.053
roziete01,Terry Rozier,2017,BOS,1263,1.4,.054
jerebjo01,Jonas Jerebko,2017,BOS,1232,2.1,.080
greenge01,Gerald Green,2017,BOS,538,0.6,.050
zellety01,Tyler Zeller,2017,BOS,525,1.0,.094
youngja01,James Young,2017,BOS,220,0.3,.076
mickejo01,Jordan Mickey,2017,BOS,141,0.1,.036
jacksde01,Demetrius Jackson,2017,BOS,17,0.1,.386
thomais02,Isaiah Thomas,2016,BOS,2644,9.7,.177
bradlav01,Avery Bradley,2016,BOS,2536,4.8,.090
crowdja01,Jae Crowder,2016,BOS,2308,7.3,.152
turneev01,Evan Turner,2016,BOS,2271,4.0,.085
sullija01,Jared Sullinger,2016,BOS,1915,4.8,.121
johnsam01,Amir Johnson,2016,BOS,1800,5.9,.158
smartma01,Marcus Smart,2016,BOS,1667,2.9,.083
olynyke01,Kelly Olynyk,2016,BOS,1395,4.1,.141
jerebjo01,Jonas Jerebko,2016,BOS,1176,2.4,.097
zellety01,Tyler Zeller,2016,BOS,710,1.7,.114
leeda02,David Lee,2016,BOS,470,0.9,.092
hunterj01,R.J. Hunter,2016,BOS,315,0.3,.045
roziete01,Terry Rozier,2016,BOS,311,-0.3,-0.047
youngja01,James Young,2016,BOS,199,0.1,.013
mickejo01,Jordan Mickey,2016,BOS,57,0.1,.068
clarkco01,Coty Clarke,2016,BOS,6,0.0,.025
bradlav01,Avery Bradley,2015,BOS,2428,2.5,.049
turneev01,Evan Turner,2015,BOS,2260,2.5,.054
bassbr01,Brandon Bass,2015,BOS,1929,5.3,.132
smartma01,Marcus Smart,2015,BOS,1808,2.9,.077
zellety01,Tyler Zeller,2015,BOS,1731,6.5,.179
sullija01,Jared Sullinger,2015,BOS,1566,4.0,.123
olynyke01,Kelly Olynyk,2015,BOS,1423,3.6,.120
crowdja01,Jae Crowder,2015,BOS,1382,3.3,.116
greenje02,Jeff Green,2015,BOS,1093,2.0,.089
rondora01,Rajon Rondo,2015,BOS,699,0.9,.064
thornma01,Marcus Thornton,2015,BOS,640,1.4,.104
pressph01,Phil Pressey,2015,BOS,600,0.8,.060
thomais02,Isaiah Thomas,2015,BOS,545,2.1,.185
jerebjo01,Jonas Jerebko,2015,BOS,527,1.5,.141
youngja01,James Young,2015,BOS,332,0.3,.047
wallage01,Gerald Wallace,2015,BOS,286,0.1,.014
princta01,Tayshaun Prince,2015,BOS,198,0.7,.165
datomlu01,Luigi Datome,2015,BOS,192,0.4,.106
nelsoja01,Jameer Nelson,2015,BOS,121,0.0,-0.015
wrighbr03,Brandan Wright,2015,BOS,86,0.2,.106
randosh01,Shavlik Randolph,2015,BOS,25,0.0,.012
poweldw01,Dwight Powell,2015,BOS,9,0.0,.138
greenje02,Jeff Green,2014,BOS,2805,3.3,.057
bassbr01,Brandon Bass,2014,BOS,2266,5.1,.107
sullija01,Jared Sullinger,2014,BOS,2041,3.9,.091
bradlav01,Avery Bradley,2014,BOS,1855,1.8,.046
wallage01,Gerald Wallace,2014,BOS,1416,1.3,.043
olynyke01,Kelly Olynyk,2014,BOS,1400,2.9,.101
humphkr01,Kris Humphries,2014,BOS,1376,4.1,.143
crawfjo02,Jordan Crawford,2014,BOS,1198,2.4,.096
pressph01,Phil Pressey,2014,BOS,1132,0.1,.005
bayleje01,Jerryd Bayless,2014,BOS,1036,1.4,.064
rondora01,Rajon Rondo,2014,BOS,998,1.1,.054
johnsch04,Chris Johnson,2014,BOS,789,1.4,.085
leeco01,Courtney Lee,2014,BOS,504,1.0,.094
favervi01,Vitor Faverani,2014,BOS,488,0.3,.031
anthojo01,Joel Anthony,2014,BOS,149,0.1,.043
babbch01,Chris Babb,2014,BOS,132,0.0,-0.008
brookma01,MarShon Brooks,2014,BOS,73,0.0,.017
boganke01,Keith Bogans,2014,BOS,55,0.1,.121
blueva01,Vander Blue,2014,BOS,15,-0.1,-0.214
piercpa01,Paul Pierce,2013,BOS,2575,7.2,.135
greenje02,Jeff Green,2013,BOS,2252,4.7,.099
bassbr01,Brandon Bass,2013,BOS,2239,4.7,.101
terryja01,Jason Terry,2013,BOS,2124,4.0,.091
garneke01,Kevin Garnett,2013,BOS,2022,5.6,.133
leeco01,Courtney Lee,2013,BOS,1941,3.3,.082
bradlav01,Avery Bradley,2013,BOS,1435,0.4,.012
rondora01,Rajon Rondo,2013,BOS,1423,3.2,.108
sullija01,Jared Sullinger,2013,BOS,892,2.7,.146
wilcoch01,Chris Wilcox,2013,BOS,830,3.1,.181
crawfjo02,Jordan Crawford,2013,BOS,582,0.5,.041
barbole01,Leandro Barbosa,2013,BOS,513,0.9,.086
collija04,Jason Collins,2013,BOS,330,0.3,.049
willite01,Terrence Williams,2013,BOS,318,0.3,.046
randosh01,Shavlik Randolph,2013,BOS,198,0.7,.159
whitedj01,D.J. White,2013,BOS,86,0.2,.117
melofa01,Fab Melo,2013,BOS,36,0.0,.021
josepkr01,Kris Joseph,2013,BOS,24,-0.1,-0.275
varnaja01,Jarvis Varnado,2013,BOS,18,0.0,.083
milicda01,Darko Milicic,2013,BOS,5,-0.1,-0.779
piercpa01,Paul Pierce,2012,BOS,2075,7.0,.161
rondora01,Rajon Rondo,2012,BOS,1957,4.9,.121
bassbr01,Brandon Bass,2012,BOS,1868,4.7,.122
garneke01,Kevin Garnett,2012,BOS,1864,6.9,.178
allenra02,Ray Allen,2012,BOS,1565,4.7,.145
bradlav01,Avery Bradley,2012,BOS,1368,2.4,.085
pietrmi01,Mickael Pietrus,2012,BOS,921,1.2,.063
stiemgr01,Greg Stiemsma,2012,BOS,766,2.7,.170
doolike01,Keyon Dooling,2012,BOS,662,0.6,.042
onealje01,Jermaine O'Neal,2012,BOS,570,1.1,.091
pavloal01,Sasha Pavlovic,2012,BOS,527,0.4,.039
daniema01,Marquis Daniels,2012,BOS,484,0.1,.008
wilcoch01,Chris Wilcox,2012,BOS,481,1.3,.132
mooreet01,E'Twaun Moore,2012,BOS,331,0.2,.031
johnsja02,JaJuan Johnson,2012,BOS,298,0.2,.032
holliry01,Ryan Hollins,2012,BOS,160,0.1,.044
willise01,Sean Williams,2012,BOS,42,0.2,.226
allenra02,Ray Allen,2011,BOS,2890,10.0,.166
piercpa01,Paul Pierce,2011,BOS,2774,11.6,.201
rondora01,Rajon Rondo,2011,BOS,2527,6.6,.126
davisgl01,Glen Davis,2011,BOS,2298,4.9,.102
garneke01,Kevin Garnett,2011,BOS,2220,9.0,.194
robinna01,Nate Robinson,2011,BOS,983,1.1,.054
daniema01,Marquis Daniels,2011,BOS,938,2.0,.103
onealsh01,Shaquille O'Neal,2011,BOS,752,2.7,.174
greenje02,Jeff Green,2011,BOS,612,1.5,.118
wafervo01,Von Wafer,2011,BOS,553,1.1,.092
krstine01,Nenad Krstic,2011,BOS,553,2.0,.170
erdense01,Semih Erden,2011,BOS,531,1.4,.128
westde01,Delonte West,2011,BOS,453,0.9,.093
onealje01,Jermaine O'Neal,2011,BOS,431,0.6,.065
perkike01,Kendrick Perkins,2011,BOS,313,0.6,.088
haranlu01,Luke Harangody,2011,BOS,241,0.4,.075
arroyca01,Carlos Arroyo,2011,BOS,190,0.1,.016
murphtr01,Troy Murphy,2011,BOS,178,0.4,.111
bradlav01,Avery Bradley,2011,BOS,162,-0.5,-0.139
pavloal01,Sasha Pavlovic,2011,BOS,149,0.2,.051
johnsch03,Chris Johnson,2011,BOS,32,0.1,.118
rondora01,Rajon Rondo,2010,BOS,2963,9.6,.156
allenra02,Ray Allen,2010,BOS,2819,7.9,.135
piercpa01,Paul Pierce,2010,BOS,2411,8.3,.165
perkike01,Kendrick Perkins,2010,BOS,2154,5.2,.117
garneke01,Kevin Garnett,2010,BOS,2060,7.3,.171
wallara01,Rasheed Wallace,2010,BOS,1780,3.6,.096
daniema01,Marquis Daniels,2010,BOS,937,1.3,.064
davisgl01,Glen Davis,2010,BOS,933,1.6,.084
allento01,Tony Allen,2010,BOS,889,1.9,.100
houseed01,Eddie House,2010,BOS,846,1.4,.081
willish02,Shelden Williams,2010,BOS,597,2.0,.162
scalabr01,Brian Scalabrine,2010,BOS,472,0.2,.019
robinna01,Nate Robinson,2010,BOS,382,0.8,.103
finlemi01,Michael Finley,2010,BOS,314,0.8,.115
giddejr01,J.R. Giddens,2010,BOS,99,0.0,.015
hudsole01,Lester Hudson,2010,BOS,70,0.0,.003
walkebi01,Henry Walker,2010,BOS,29,0.0,.062
lafayol01,Oliver Lafayette,2010,BOS,22,0.0,.098
landrma01,Marcus Landry,2010,BOS,3,0.0,-0.738
piercpa01,Paul Pierce,2009,BOS,3035,10.3,.164
allenra02,Ray Allen,2009,BOS,2876,11.1,.186
rondora01,Rajon Rondo,2009,BOS,2642,9.9,.179
perkike01,Kendrick Perkins,2009,BOS,2253,5.6,.119
garneke01,Kevin Garnett,2009,BOS,1772,7.1,.193
davisgl01,Glen Davis,2009,BOS,1637,3.7,.108
houseed01,Eddie House,2009,BOS,1479,4.9,.158
powele01,Leon Powe,2009,BOS,1227,4.9,.192
allento01,Tony Allen,2009,BOS,887,1.6,.085
scalabr01,Brian Scalabrine,2009,BOS,504,1.1,.105
mooremi01,Mikki Moore,2009,BOS,456,1.3,.135
marbust01,Stephon Marbury,2009,BOS,414,-0.3,-0.038
pruitga01,Gabe Pruitt,2009,BOS,366,0.4,.047
walkebi01,Henry Walker,2009,BOS,216,0.5,.117
obryapa01,Patrick O'Bryant,2009,BOS,108,0.1,.025
giddejr01,J.R. Giddens,2009,BOS,8,0.0,.201
piercpa01,Paul Pierce,2008,BOS,2874,12.4,.207
allenra02,Ray Allen,2008,BOS,2624,9.7,.177
garneke01,Kevin Garnett,2008,BOS,2328,12.9,.265
rondora01,Rajon Rondo,2008,BOS,2306,7.2,.150
perkike01,Kendrick Perkins,2008,BOS,1912,6.2,.156
poseyja01,James Posey,2008,BOS,1821,6.2,.164
houseed01,Eddie House,2008,BOS,1480,3.9,.127
